"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
1,3,24,2,6,0.25,2,5.925,13.0647845731451,8.85107250545418,72.0365905761719,36.2209581298511,19.4866558733593,29.209487024943,28.877139639216,4.69841402403477,2166,3024
1,3,24,2,6,0.25,2,9.74,14.0504508023979,8.39726217026504,63.3901214599609,36.4134664652538,18.5347026282117,35.1246190388997,35.2233843403604,4.86575785865508,1956,3024
1,3,24,2,6,0.25,2,13.475,16.2701046325284,8.32941587630187,55.0124244689941,35.5295147610407,16.3948456639211,41.3713757832845,40.5073591970179,4.69876149140103,2055,3024
-1,3,24,2,6,0.25,2,1.997,9.43891125638313,9.39930435185941,76.2344665527344,41.0289315525644,21.0944086993305,21.8127843221029,20.8809661607358,4.60980711531033,2034,3024
-1,3,24,2,6,0.25,2,5.925,11.8904062025812,8.46285051208967,72.1924819946289,38.1747649390652,19.5703111388435,21.1056358337402,18.9164272920123,5.09699869683618,1986,3024
-1,3,24,2,6,0.25,2,9.74,13.4863016632716,8.57622297453351,63.804573059082,38.1559795110067,19.0678352744576,23.3351327260335,20.7329987080892,5.95123789459411,1875,3024
-1,3,24,2,6,0.25,2,13.475,15.571670827988,6.58239837420793,55.5536041259766,34.4073868697243,14.9854583792442,27.1875573476156,24.1856840361974,5.51637308154363,1792,3024
1,2,24,1.64,5,0.25,2,1.997,10.7835635968261,8.89317960329019,79.8548049926758,34.773938432495,19.6852561508898,25.3000005420886,25.522925361065,4.34704006528849,7773,12600
1,2,24,1.64,5,0.25,2,5.925,11.8442022082352,8.6938581289855,77.6475448608398,36.455065027134,19.8766335538645,31.2833049171849,32.3028562046014,4.77510687250307,7488,12590
1,2,24,1.64,5,0.25,2,9.74,13.6737487301552,7.98668709260178,70.0087661743164,34.9294909382501,18.520913759473,38.4704540654233,39.3646830444605,4.74093700168097,7359,12599
1,2,24,1.64,5,0.25,2,13.475,13.9006914017324,6.56000254395612,60.5692443847656,36.8983878936322,16.9576460894304,45.6704064419395,44.0506208848988,3.63528174718705,5484,12577
-1,2,24,1.64,5,0.25,2,1.997,10.2111531057211,8.6737371344187,78.7310485839844,35.4851064543255,19.8547168713287,21.3426689348723,19.4412970731214,4.59354874908758,7698,12593
-1,2,24,1.64,5,0.25,2,5.925,11.1094585784229,7.58165330779973,74.123420715332,36.1484737208738,19.1061904036955,20.0834321975708,16.0598665389691,4.7278028088914,7375,12304
-1,2,24,1.64,5,0.25,2,9.74,13.5277355832547,7.74009166161479,65.4339828491211,34.3666937284564,17.4302938346238,22.0425836161563,17.014788590914,5.46562703016303,7761,12527
-1,2,24,1.64,5,0.25,2,13.475,15.9812959252325,7.52521114622288,57.0093383789062,32.9389888518089,15.298461336803,25.6882749858655,19.7010100746594,5.83764076256613,7821,12585
1,3,24,1.64,5,0.25,2,1.997,11.7445369787611,9.44576660006258,79.6272048950195,34.4662494349434,19.0244459198009,24.6474614394339,24.6478378391327,4.79032955695256,4707,7560
1,3,24,1.64,5,0.25,2,5.925,12.5295960645443,8.85048894392732,76.3978576660156,34.4707163232943,18.63436434239,29.0707070200067,29.7879214194693,4.48515023634425,5125,7560
1,3,24,1.64,5,0.25,2,9.74,14.2309032290484,8.21466205274477,67.8996047973633,34.2971425575499,17.434736342073,34.9148354781301,35.8886438682208,4.65110985711316,4621,7560
1,3,24,1.64,5,0.25,2,13.475,16.1006019783058,7.7338870600008,58.9597320556641,33.0002556981361,16.6295792472478,41.123582739579,40.9494122675317,4.21287648444249,4406,7560
-1,3,24,1.64,5,0.25,2,1.997,11.3282886109785,9.21708115700279,78.8483123779297,33.8823442571136,18.1016269666564,21.8511978952508,20.5033773567268,4.2739653498878,4682,7560
-1,3,24,1.64,5,0.25,2,5.925,12.1520923179889,8.33737573923307,74.3089447021484,34.5883278871028,18.3482337038148,21.2022561525044,18.3106719294914,4.71667887468289,4712,7560
-1,3,24,1.64,5,0.25,2,9.74,13.1355562458155,7.40840375121435,65.5979766845703,35.4472162945374,17.439647773765,23.471236379523,20.0792700415072,5.118778077359,4600,7560
-1,3,24,1.64,5,0.25,2,13.475,15.8164914090007,7.52833561872431,57.1402320861816,33.627220180604,15.7372418626859,27.354606628418,23.1560979090431,5.45467471058105,4698,7560
1,2,24,1.31,7.9,0.25,2,1.997,10.4977487921399,8.64347813119806,76.6283798217773,35.4786636643448,19.7472723066293,25.4047217161759,24.8133823091219,4.51728953617605,3770,6048
1,2,24,1.31,7.9,0.25,2,5.925,12.3588332367093,8.84136673488431,72.5532302856445,34.4425611325499,20.1596116664155,31.6148681640625,32.2775681971042,5.01100418300299,3916,6048
1,2,24,1.31,7.9,0.25,2,9.74,13.82777307887,8.27871949729705,63.7800788879395,33.2276999510282,17.7714213057878,38.9813588183859,39.1358534150259,4.67789217240044,3559,6048
1,2,24,1.31,7.9,0.25,2,13.475,13.6691156658698,6.38948016484887,55.2328338623047,35.3415931822991,16.1539912591298,46.2806147699771,43.9702226305857,3.54048793479512,2641,6048
-1,2,24,1.31,7.9,0.25,2,1.997,11.2397515100633,9.2968785944593,76.5161819458008,34.1544534029775,19.9129951584261,21.2492895540984,18.4797230911153,4.60117126573237,3742,6048
-1,2,24,1.31,7.9,0.25,2,5.925,10.6789165847438,7.66724989650687,72.4253616333008,36.1680768078867,19.4739323654981,19.844117662181,14.6906054153285,4.67322789814742,4112,6048
-1,2,24,1.31,7.9,0.25,2,9.74,12.9672133750078,7.73690680861592,64.0196075439453,35.6147795827506,17.399131645164,21.7069609268852,15.7032498300538,5.27034614424409,3870,6048
